name_plat,year_plat,quantity_plat,volume_plat,quantity_main,price_plat,price_main,price_diff,price_diff_pct,cheaper_side,url_plat,url_main,platinum_vivino_rating,platinum_vivino_num_ratings,platinum_vivino_url
2020 Jonata - Fenix - Red - 750 ml - Standard Bottle,2020,1,750ml,1,154.00,157.00,-3.0,-1.91,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2020-jonata-fenix-red-750-ml-standard-bottle,https://grandcruwines.com/products/2020-jonata-fenix,,,
2021 Domaine Xavier Monnot - Puligny Montrachet Folatieres - White - 750 ml - Standard Bottle (Bundle of 3),2021,3,750ml,1,233.33,240.00,-6.67,-2.78,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2021-domaine-xavier-monnot-puligny-montrachet-folatieres-white-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2021-domaine-xavier-monnot-puligny-montrachet-folatieres,,,
2023 Hudelot - Baillet - Chambolle Musigny les Cras - Red - 750 ml - Standard Bottle (Bundle of 3),2023,3,750ml,1,203.33,210.00,-6.67,-3.18,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2023-hudelot-baillet-chambolle-musigny-les-cras-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2023-hudelot-baillet-chambolle-musigny-les-cras,,,
2023 Hudelot - Baillet - Chambolle-Musigny 1er Cru Les Borniques - Red - 750 ml - Standard Bottle (Bundle of 3),2023,3,750ml,1,250.00,260.00,-10.0,-3.85,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2023-hudelot-baillet-chambolle-musigny-1er-cru-les-borniques-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2023-hudelot-baillet-chambolle-musigny-1er-cru-les-borniques,,,
2021 Hudelot - Baillet - Bonnes Mares - Red - 750 ml - Standard Bottle (Bundle of 3),2021,3,750ml,1,566.67,590.00,-23.33,-3.95,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2021-hudelot-baillet-bonnes-mares-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2021-hudelot-baillet-bonnes-mares,,,
2021 Pierre Boisson - Auxey Duresses - White - 750 ml - Standard Bottle (Bundle of 6),2021,6,750ml,1,105.00,110.00,-5.0,-4.55,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2021-pierre-boisson-auxey-duresses-white-750-ml-standard-bottle-bundle-of-6,https://grandcruwines.com/products/2021-pierre-boisson-auxey-duresses,,,
2022 Hudelot - Baillet - Chambolle Musigny les Cras - Red - 750 ml - Standard Bottle (Bundle of 3),2022,3,750ml,1,200.00,210.00,-10.0,-4.76,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2022-hudelot-baillet-chambolle-musigny-les-cras-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2022-hudelot-baillet-chambolle-musigny-les-cras,,,
2021 Domaine Xavier Monnot - Meursault Charmes - White - 750 ml - Standard Bottle (Bundle of 3),2021,3,750ml,1,200.00,210.00,-10.0,-4.76,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2021-domaine-xavier-monnot-meursault-charmes-white-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2021-domaine-xavier-monnot-meursault-charmes,,,
2017 Rhys - Chardonnay Mt. Pajaro Vineyard - White - 1.5 L - Magnum,2017,1,1.5l,1,390.00,445.00,-55.0,-12.36,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2017-rhys-chardonnay-mt-pajaro-vineyard-white-1-5-l-magnum,https://grandcruwines.com/products/2017-rhys-chardonnay-mt-pajaro-vineyard-1-5-l-magnum,,,
2017 Rhys - Chardonnay Bearwallow Vineyard - White - 1.5 L - Magnum,2017,1,1.5l,1,380.00,445.00,-65.0,-14.61,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2017-rhys-chardonnay-bearwallow-vineyard-white-1-5-l-magnum,https://grandcruwines.com/products/2017-rhys-chardonnay-bearwallow-vineyard-1-5-l-magnum,,,
NV Charles Heidsieck - Brut Reserve - White - 750 ml - Standard Bottle,,1,750ml,1,100.00,120.00,-20.0,-16.67,Platinum Cheaper,https://platwineclub.wineportal.com/wines/nv-charles-heidsieck-brut-reserve-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-charles-heidsieck-brut-reserve-gift-box-2-glasses,,,
2021 Miraval - Cotes de Provence Rose Muse - Rose - 1.5 L - Magnum,2021,1,1.5l,1,390.00,780.00,-390.0,-50.0,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2021-miraval-cotes-de-provence-rose-muse-rose-1-5-l-magnum,https://grandcruwines.com/products/2021-miraval-cotes-de-provence-rose-muse-1-5-l-magnum,,,
2022 Domaine Claude Dugat - Gevrey Chambertin - Red - 750 ml - Standard Bottle (Bundle of 3),2022,3,750ml,1,170.00,1020.00,-850.0,-83.33,Platinum Cheaper,https://platwineclub.wineportal.com/wines/2022-domaine-claude-dugat-gevrey-chambertin-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2022-domaine-claude-dugat-gevrey-chambertin,,,
2020 Nervi - Gattinara - Red - 750 ml - Standard Bottle,2020,1,750ml,1,110.00,88.00,22.0,25.0,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2020-nervi-gattinara-red-750-ml-standard-bottle,https://grandcruwines.com/products/2020-nervi-gattinara,,,
2022 La Croix de Brully - Chassagne-Montrachet La Goujonne - White - 750 ml - Standard Bottle,2022,1,750ml,1,130.00,104.00,26.0,25.0,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2022-la-croix-de-brully-chassagne-montrachet-la-goujonne-white-750-ml-standard-bottle,https://grandcruwines.com/products/2022-la-croix-de-brully-chassagne-montrachet-la-goujonne,,,
2019 Nervi - Gattinara Vigneto Molsino - Red - 750 ml - Standard Bottle,2019,1,750ml,1,220.00,176.00,44.0,25.0,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2019-nervi-gattinara-vigneto-molsino-red-750-ml-standard-bottle,https://grandcruwines.com/products/2019-nervi-gattinara-vigneto-molsino,,,
NV Miraval - Fleur De Miraval Exclusivement Rose 3 - Rose - 750 ml - Standard Bottle,,1,750ml,1,525.00,420.00,105.0,25.0,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/nv-miraval-fleur-de-miraval-exclusivement-rose-3-rose-750-ml-standard-bottle,https://grandcruwines.com/products/nv-miraval-fleur-de-miraval-exclusivement-rose-3,,,
NV Coutier - Tradition Brut - White - 750 ml - Standard Bottle,,1,750ml,1,95.00,81.00,14.0,17.28,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/nv-coutier-tradition-brut-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-coutier-tradition-brut,,,
2023 Tenuta San Guido - Guidalberto - Red - 750 ml - Standard Bottle,2023,1,750ml,1,90.00,80.00,10.0,12.5,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2023-tenuta-san-guido-guidalberto-red-750-ml-standard-bottle,https://grandcruwines.com/products/2023-tenuta-san-guido-guidalberto,,,
2017 Paul Hobbs - Chardonnay Dinner Vineyard Cuvee Agustina Sonoma Mountain - White - 750 ml - Standard Bottle,2017,1,750ml,1,320.00,288.00,32.0,11.11,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2017-paul-hobbs-chardonnay-dinner-vineyard-cuvee-agustina-sonoma-mountain-white-750-ml-standard-bottle,https://grandcruwines.com/products/2017-paul-hobbs-chardonnay-dinner-vineyard-cuvee-agustina-sonoma-mountain,,,
2023 Hudelot - Baillet - Chambolle Musigny Charmes - Red - 750 ml - Standard Bottle (Bundle of 3),2023,3,750ml,1,200.00,185.00,15.0,8.11,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2023-hudelot-baillet-chambolle-musigny-charmes-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2023-hudelot-baillet-chambolle-musigny-charmes,,,
2021 Chateau Beaucastel - Chateauneuf du Pape - Red - 750 ml - Standard Bottle (Bundle of 6),2021,6,750ml,1,133.33,129.00,4.33,3.36,Grand Cru Cheaper,https://platwineclub.wineportal.com/wines/2021-chateau-beaucastel-chateauneuf-du-pape-red-750-ml-standard-bottle-bundle-of-6,https://grandcruwines.com/products/2021-chateau-beaucastel-chateauneuf-du-pape,,,
2021 Chateau Tahbilk - Shiraz Tower Release - Red - 750 ml - Standard Bottle,2021,1,750ml,1,45.00,45.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2021-chateau-tahbilk-shiraz-tower-release-red-750-ml-standard-bottle,https://grandcruwines.com/products/2021-chateau-tahbilk-shiraz-tower-release,,,
2024 Chateau Tahbilk - Viognier Nagambie Lakes - White - 750 ml - Standard Bottle,2024,1,750ml,1,45.00,45.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2024-chateau-tahbilk-viognier-nagambie-lakes-white-750-ml-standard-bottle,https://grandcruwines.com/products/2024-chateau-tahbilk-viognier-nagambie-lakes,,,
NV Botter - Brilla Asolo Prosecco Superiore DOCG - White - 750 ml - Standard Bottle,,1,750ml,1,48.00,48.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/nv-botter-brilla-asolo-prosecco-superiore-docg-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-botter-brilla-asolo-prosecco-superiore-docg,,,
