match_name,retailer_name,retailer_url,price_sgd,currency_confirmed,notes
2021 Domaine Xavier Monnot - Puligny Montrachet Folatieres - White - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/dom+bachelet+monot+puligny+montrachet+cote+de+beaune+burgundy+france,161.86,true,resolved_via=brave_wine_searcher_retry usd=126.0 validation=passed_retry
2023 Hudelot - Baillet - Chambolle Musigny les Cras - Red - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/alain+hudelot+noellat+chambolle+musigny+cote+de+nuit+burgundy+france,167.0,true,resolved_via=brave_wine_searcher usd=130.0 validation=passed
2023 Hudelot - Baillet - Chambolle-Musigny 1er Cru Les Borniques - Red - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/dom+hudelot+baillets+les+borniques+chambolle+musigny+premier+cru+cote+de+nuit+burgundy+france,224.81,true,resolved_via=brave_wine_searcher usd=175.0 validation=passed
2022 Hudelot - Baillet - Chambolle Musigny les Cras - Red - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/alain+hudelot+noellat+chambolle+musigny+cote+de+nuit+burgundy+france/2022,150.3,true,resolved_via=brave_wine_searcher usd=117.0 validation=passed
2021 Domaine Xavier Monnot - Meursault Charmes - White - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/xaver+monot+les+chevalier+meursault+cote+de+beaune+burgundy+france,160.57,true,resolved_via=brave_wine_searcher usd=125.0 validation=passed
2017 Rhys - Chardonnay Mt. Pajaro Vineyard - White - 1.5 L - Magnum,Wine-Searcher avg,https://www.wine-searcher.com/find/rhys+mnt+pajaros+chard+santa+cruz+st+francisco+bay+central+coast+california+usa/2017,122.04,true,resolved_via=brave_wine_searcher usd=95.0 validation=passed
2017 Rhys - Chardonnay Bearwallow Vineyard - White - 1.5 L - Magnum,Wine-Searcher avg,https://www.wine-searcher.com/find/rhys+bear+wallow+chard+anderson+valley+mendocino+county+north+coast+california+usa,140.02,true,resolved_via=brave_wine_searcher usd=109.0 validation=passed
NV Charles Heidsieck - Brut Reserve - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/charles+heidsieck+brut+rsrv+champagne+france,93.78,true,resolved_via=brave_wine_searcher usd=73.0 validation=passed
2021 Miraval - Cotes de Provence Rose Muse - Rose - 1.5 L - Magnum,Wine-Searcher avg,https://www.wine-searcher.com/find/muse+de+miraval+cote+rose+provence+france,184.98,true,resolved_via=brave_wine_searcher usd=144.0 validation=passed
2022 Domaine Claude Dugat - Gevrey Chambertin - Red - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/claude+dugat+gevrey+chambertin+cote+de+nuit+burgundy+france/2022,217.1,true,resolved_via=brave_wine_searcher_retry usd=169.0 validation=passed_retry
2020 Nervi - Gattinara - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/nervi+conterno+docg+gattinara+piemonte+italy/2020,104.05,true,resolved_via=brave_wine_searcher usd=81.0 validation=passed
2019 Nervi - Gattinara Vigneto Molsino - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/nervi+conterno+vigna+molsino+docg+gattinara+piemonte+italy/2019,226.09,true,resolved_via=brave_wine_searcher usd=176.0 validation=passed
NV Miraval - Fleur De Miraval Exclusivement Rose 3 - Rose - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/fleur+de+miraval+exclusive+rose+champagne+france,431.63,true,resolved_via=brave_wine_searcher usd=336.0 validation=passed
NV Coutier - Tradition Brut - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/r+h+coutier+blancdeblanc+grand+cru+brut+champagne+france,70.65,true,resolved_via=brave_wine_searcher usd=55.0 validation=passed
2023 Tenuta San Guido - Guidalberto - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/tenute+st+guido+alberto+tuscany+igp+italy/2023,114.33,true,resolved_via=brave_wine_searcher usd=89.0 validation=passed
2017 Paul Hobbs - Chardonnay Dinner Vineyard Cuvee Agustina Sonoma Mountain - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/paul+hobbs+cuvee+agustina+richard+dinner+chard+sonoma+mnt+county+north+coast+california+usa,156.72,true,resolved_via=brave_wine_searcher usd=122.0 validation=passed
2021 Chateau Beaucastel - Chateauneuf du Pape - Red - 750 ml - Standard Bottle (Bundle of 6),Wine-Searcher avg,https://www.wine-searcher.com/find/de+beaucastel+chateauneuf+du+pape+rhone+france,140.02,true,resolved_via=brave_wine_searcher usd=109.0 validation=passed
2024 Chateau Tahbilk - Viognier Nagambie Lakes - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/tahbilk+viognier+nagambie+lake+victoria+australia,19.27,true,resolved_via=brave_wine_searcher usd=15.0 validation=passed
2024 Frescobaldi - Rose Alie Ammiraglia - Rose - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/marchesi+frescobaldi+tenute+ammiraglia+alie+rose+igp+tuscany+italy,21.84,true,resolved_via=brave_wine_searcher usd=17.0 validation=passed
2022 Two Rivers Of Marlborough - Two Rivers Tributary Pinot Noir - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/two+rivers+tributary+pinot+noir+marlborough+new+zealand,25.69,true,resolved_via=brave_wine_searcher usd=20.0 validation=passed
2023 G D Vajra - Langhe Rosso - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/g+d+vajra+rosso+langhe+piemonte+italy/2023,20.55,true,resolved_via=brave_wine_searcher usd=16.0 validation=passed
2024 Miraval - Cotes de Provence Rose - Rose - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/miraval+rose+cote+de+provence+france/2024,28.26,true,resolved_via=brave_wine_searcher usd=22.0 validation=passed
2023 Tenuta San Guido - Le Difese - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/tenute+st+guido+le+difese+tuscany+igp+italy/2023,64.23,true,resolved_via=brave_wine_searcher usd=50.0 validation=passed
2019 The Paring - Red Wine - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/the+paring+red+santa+ynez+valley+barbara+county+central+coast+california+usa,35.97,true,resolved_via=brave_wine_searcher usd=28.0 validation=passed
2023 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/dom+hudelot+baillets+blanc+bourgogne+haut+cote+de+nuit+burgundy+france,46.25,true,resolved_via=brave_wine_searcher usd=36.0 validation=passed
2022 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/dom+hudelot+baillets+blanc+bourgogne+haut+cote+de+nuit+burgundy+france,46.25,true,resolved_via=brave_wine_searcher usd=36.0 validation=passed
