match_name,wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url,notes
2019 Domaine Xavier Monnot - Corton Charlemagne - White - 750 ml - Standard Bottle,Xavier Monnot Corton-Charlemagne Grand Cru,4.5,,,https://www.vivino.com/en/xavier-monnot-corton-charlemagne-grand-cru/w/7970702,manual_user_confirmed_2026-02-26
2020 Markus Molitor - Brauneberger Mandelgraben Pinot Noir Trocken One Star - Red - 750 ml - Standard Bottle,Markus Molitor Brauneberger Mandelgraben Pinot Noir,4.0,51,75,https://www.vivino.com/en/markus-molitor-brauneberger-mandelgraben-pinot-noir/w/1652053?year=2020&price_id=40502353,manual override from user-provided Vivino page 2026-02-23
2021 Chateau Beaucastel - Chateauneuf du Pape - Red - 750 ml - Standard Bottle (Bundle of 6),Chateau de Beaucastel Chateauneuf-du-Pape,4.4,49713,171,https://www.vivino.com/en/chateau-de-beaucastel-chateauneuf-du-pape/w/1134803?ref=nav-search,manual override from user-provided Vivino page 2026-02-23
2021 Domaine Xavier Monnot - Puligny Montrachet Folatieres - White - 750 ml - Standard Bottle (Bundle of 3),Xavier Monnot Puligny-Montrachet 1er Cru Les Folatieres,4.3,,240,https://www.vivino.com/en/xavier-monnot-puligny-montrachet-1er-cru-les-folatieres/w/2255340?year=2021&price_id=40502327,manual override from user-provided Vivino page 2026-02-23
2021 Hudelot - Baillet - Bonnes Mares - Red - 750 ml - Standard Bottle (Bundle of 3),Hudelot-Baillet Bonnes Mares Grand Cru,4.2,,,https://www.vivino.com/en/hudelot-baillet-bonnes-mares-grand-cru/w/1977235?year=2021,manual override from user-provided Vivino page 2026-02-23
2021 Pierre Boisson - Auxey Duresses - White - 750 ml - Standard Bottle (Bundle of 6),Pierre Boisson Auxey-Duresses Les Clous,4.2,,,https://www.vivino.com/en/pierre-boisson-auxey-duresses-les-clous/w/2033202?year=2021,manual override from user-provided Vivino search result (2nd hit) 2026-02-23
2022 Daou Vineyards - Cabernet Sauvignon Reserve - Red - 750 ml - Standard Bottle,DAOU Reserve Cabernet Sauvignon,4.1,661,99.96,https://www.vivino.com/en/daou-reserve-cabernet-sauvignon/w/1189764?year=2022&price_id=39581886,manual override from user-provided Vivino page 2026-02-23
2022 Domaine Claude Dugat - Gevrey Chambertin - Red - 750 ml - Standard Bottle (Bundle of 3),Claude Dugat Gevrey-Chambertin,4.1,56,170,https://www.vivino.com/en/domaine-claude-dugat-gevrey-chambertin/w/86597?year=2022&price_id=40439058,manual override from user-provided Vivino page 2026-02-23
2022 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Hudelot-Baillet Bourgogne Hautes-Cotes de Nuits Blanc,3.9,,75,https://www.vivino.com/en/hudelot-baillet-bourgogne-hautes-cotes-de-nuits-blanc/w/5275695?year=2022&price_id=40502313,manual override from user-provided Vivino page 2026-02-23
2022 Hudelot - Baillet - Chambolle-Musigny 1er Cru Les Borniques - Red - 750 ml - Standard Bottle (Bundle of 3),Hudelot-Baillet Chambolle-Musigny 1er Cru 'Les Borniques',4.0,,260,https://www.vivino.com/en/search/wines?q=2022+Hudelot+Baillet+Chambolle-Musigny+1er+Cru+Les+Borniques,manual override from user-provided Vivino search/page 2026-02-23
2022 Jerome Blin - Les Ports Complantation Zero Dosage - White - 750 ml - Standard Bottle,2022 Jérôme Blin Les Ports Complantation Zero Dosage Champagne | Vivino US,,,,https://www.vivino.com/US/en/jerome-blin-les-ports-complantation-zero-dosage-champagne/w/11806590?year=2022,auto_resolved provider=brave score=1.000 margin=0.141
2022 Roagna - Solea - White - 1.5 L - Magnum,Roagna Solea Langhe,4.2,,160,https://www.vivino.com/en/roagna-solea-langhe/w/78370,manual_user_confirmed_2026-02-26
2023 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Hudelot-Baillet Bourgogne Hautes-Cotes de Nuits Blanc,3.9,,75,https://www.vivino.com/en/hudelot-baillet-bourgogne-hautes-cotes-de-nuits-blanc/w/5275695?year=2022&price_id=40502313,manual override from user-provided Vivino page 2026-02-23
2023 Hudelot - Baillet - Chambolle-Musigny 1er Cru Les Borniques - Red - 750 ml - Standard Bottle (Bundle of 3),Hudelot-Baillet Chambolle-Musigny 1er Cru 'Les Borniques',4.0,,260,https://www.vivino.com/en/search/wines?q=2022+Hudelot+Baillet+Chambolle-Musigny+1er+Cru+Les+Borniques,manual override from user-provided Vivino search/page 2026-02-23
2023 Tenuta San Guido - Guidalberto - Red - 750 ml - Standard Bottle,Tenuta San Guido Guidalberto | Vivino English,,,,https://www.vivino.com/en/tenuta-san-guido-guidalberto/w/5080,auto_resolved provider=brave score=0.854 margin=0.127
2023 Tenuta San Guido - Le Difese - Red - 750 ml - Standard Bottle,2023 Tenuta San Guido Le Difese | Vivino US,,,,https://www.vivino.com/US/en/tenuta-san-guido-le-difese/w/5076?year=2023&price_id=37082349,auto_resolved provider=brave score=1.000 margin=0.153
2024 G D Vajra - Moscato d'Asti - White - 750 ml - Standard Bottle,G.D. Vajra Moscato d'Asti,4.0,8078,40,https://www.vivino.com/en/g-d-vajra-moscato-d-asti/w/1100130?ref=nav-search,manual override from user-provided Vivino page 2026-02-23
NV Adrien Renoir - Grand Cru Le Terroir - White - 750 ml - Standard Bottle,Adrien Renoir Le Terroir Champagne Grand Cru 'Verzy',4.2,686,102,https://www.vivino.com/en/adrien-renoir-le-terroir-champagne-grand-cru-verzy/w/9933663?price_id=34969787,manual override from user-provided Vivino page 2026-02-23
NV Astrale - Rosso Vino D'italia BC - Red - 750 ml - Standard Bottle,Astrale Rosso,4.1,43997,,https://www.vivino.com/en/astrale-rosso/w/1377390,manual override from user-provided Vivino page 2026-02-23
NV Coutier - Tradition Brut - White - 750 ml - Standard Bottle,R.H. Coutier Cuvee Tradition Brut Champagne Grand Cru 'Ambonnay',4.1,2995,79.9,https://www.vivino.com/en/r-h-coutier-cuvee-tradition-brut-champagne-grand-cru-ambonnay/w/1177304,manual override with confirmed Vivino URL 2026-02-26
