wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url
2021 Miraval - Cotes de Provence Rose Muse,4.0,2310 ratings,$51,https://www.vivino.com/SG/en/miraval-cotes-de-provence-rose/w/2638097?year=2021&price_id=37945332
2017 Tiano & Nareno - Trevisio 1908,4.3,based on all vintages,N/A,https://www.vivino.com/SG/en/tiano-and-nareno-travesia-1908/w/2007162?year=2017
2017 De Martino - Legado Reserva Cabernet Sauvignon - Red - 750 ml - Standard Bottle,3.7,676 ratings,N/A,https://www.vivino.com/SG/en/cl-de-martino-legado-cabernet-sauvignon-gran-reserva/w/1662839?year=2017
2018 Corte Giara - Pinot Grigio - White - 750 ml - Standard Bottle,3.8,756 ratings,N/A,https://www.vivino.com/SG/en/corte-giara-pinot-grigio-delle-venezie/w/1737042?year=2018&price_id=32646772
2013 Aia Vecchia - Morellino di Scansano - Red - 750 ml - Standard Bottle,3.5,58 ratings,$48,https://www.vivino.com/SG/en/aia-vecchia-morellino-di-scansano/w/81759?year=2013&price_id=21546326
2018 Pirramimma - Cabernet Sauvignon - Red - 750 ml - Standard Bottle,3.9,based on all vintages,N/A,https://www.vivino.com/SG/en/pirramimma-stock-s-hill-cabernet-sauvignon-petit-verdot-merlot/w/1772777?year=2018
2020 Peter Zemmer - Alto Adige Chardonnay Riserva Crivelli - White - 750 ml - Standard Bottle,4.2,51 ratings,$88,https://www.vivino.com/SG/en/peter-zemmer-chardonnay-riserva-crivelli/w/5008763?year=2020&price_id=36365602
2018 Fire Gully - Chardonnay - White - 750 ml - Standard Bottle,3.5,69 ratings,N/A,https://www.vivino.com/SG/en/marks-spencer-pheasant-south-eastern-australia-semillon-chardonnay-w5b7f/w/1869637?year=2018
2019 Franschhoek Cellar - Baker Station Shiraz - Red - 750 ml - Standard Bottle,3.5,159 ratings,N/A,https://www.vivino.com/SG/en/franschhoek-cellar-baker-station-shiraz/w/77936?year=2019
NV Seedlip - Garden 108 Distilled Non-Alcoholic Spirit - White - 700 ml,3.5,502 ratings,N/A,https://www.vivino.com/SG/en/stella-rosa-naturals-black-non-alcoholic/w/8802597
2019 Luis Felipe Edwards - Alto Los Romeros Gran Reserva Cabernet Sauvignon - Red - 750 ml - Standard Bottle,3.8,420 ratings,N/A,https://www.vivino.com/SG/en/luis-felipe-edwards-family-selection-gran-reserva-cabernet-sauvignon/w/85354?year=2019&price_id=15969674
2019 Pirramimma - Shiraz McLaren Vale - Red - 750 ml - Standard Bottle,4.2,based on all vintages,N/A,https://www.vivino.com/SG/en/pirramimma-heritage-limited-edition-cabernet-shiraz/w/10012288?year=2019
2021 Elio Altare - Barbera d'Alba - Red - 750 ml - Standard Bottle,4.0,358 ratings,$112,https://www.vivino.com/SG/en/elio-altare-barbera-d-alba/w/75845?year=2021&price_id=33852450
2019 Le Monde - Pinot Bianco - White - 750 ml - Standard Bottle,3.8,211 ratings,$66,https://www.vivino.com/SG/en/le-monde-pinot-bianco/w/2521315?year=2019&price_id=35224946
2019 Montes - Alpha Carmenere - Red - 750 ml - Standard Bottle,4.0,3504 ratings,$50.95,https://www.vivino.com/SG/en/montes-montes-alpha-carmenere-colchagua-valley/w/71304?year=2019&price_id=35229759
2017 Pascal Bouchard - Bourgogne Pinot Noir - Red - 750 ml - Standard Bottle,3.8,460 ratings,N/A,https://www.vivino.com/SG/en/pascal-marchand-tawse-bourgogne-pinot-noir/w/1904762?year=2017
2019 Domaine du Vieux Telegraphe - Le Pigeoulet - Red - 750 ml - Standard Bottle,4.4,1923 ratings,$169,https://www.vivino.com/SG/en/vieux-telegraphe-chateauneuf-du-pape-la-crau/w/1135736?year=2019&price_id=30775576
2019 Montes - Alpha Special Cuvee Cabernet Sauvignon - Red - 750 ml - Standard Bottle,4.1,438 ratings,$57,https://www.vivino.com/SG/en/montes-montes-alpha-special-cuvee-cabernet-sauvignon-colchagua-valley/w/5006161?year=2019&price_id=35612120
2017 Andre et Mireille Tissot - Arbois Savagnin - White - 750 ml - Standard Bottle,3.8,based on all vintages,N/A,https://www.vivino.com/SG/en/benedicte-et-stephane-tissot-selection-chardonnay-savagnin/w/1579021?year=2017
2018 Logan Wines - Weemala Shiraz Viognier - Red - 750 ml - Standard Bottle,3.5,142 ratings,$78,https://www.vivino.com/SG/en/au-logan-weemala-shiraz-viognier/w/83799?year=2018&price_id=39352005
2016 Fantinel - Zuccolo Friuli Grave Merlot - Red - 750 ml - Standard Bottle,3.2,based on all vintages,N/A,https://www.vivino.com/SG/en/fantinel-merlot-selezione-di-famiglia/w/3292714?year=2016
2019 Terrazas de Los Andes - Malbec Reserva Mendoza - Red - 750 ml - Standard Bottle,3.8,based on all vintages,N/A,https://www.vivino.com/SG/en/los-andes-128620-sinergia-malbec-malbec/w/9300725?year=2019
2018 Villa Sant' Anna - Vino Nobile di Montepulciano - Red - 750 ml - Standard Bottle,3.9,131 ratings,$73,https://www.vivino.com/SG/en/villa-s-anna-vino-nobile-di-montepulciano/w/1220947?year=2018&price_id=31885179
2020 Kalleske - Clarry's Grenache Shiraz Mataro - Red - 750 ml - Standard Bottle,3.9,38 ratings,N/A,https://www.vivino.com/SG/en/kalleske-clarry-s-barossa-red-grenache-shiraz/w/2163121?year=2020&price_id=21687584
2018 Le Pupille - Morellino di Scansano Riserva - Red - 750 ml - Standard Bottle,4.1,486 ratings,$63,https://www.vivino.com/SG/en/fattoria-le-pupille-morellino-di-scansano-riserva/w/82693?year=2018&price_id=29847011
2014 De Martino - Old Bush Vines Las Cruces - Red - 750 ml - Standard Bottle,3.9,77 ratings,$109,https://www.vivino.com/SG/en/cl-de-martino-single-vineyard-las-cruces-old-vines-field-blend/w/13186?year=2014&price_id=34932802
2016 Gulfi - Neromaccarj - Red - 750 ml - Standard Bottle,4.1,137 ratings,N/A,https://www.vivino.com/SG/en/gulfi-neromaccarj/w/27354?year=2016&price_id=7944079
2020 Franz Haas - Pinot Grigio - White - 750 ml - Standard Bottle,3.7,197 ratings,N/A,https://www.vivino.com/SG/en/franz-haas-pinot-grigio-alto-adige/w/1291985?year=2020
2018 De Bortoli - Semillon The Noble One Riverina - White - 375 ml - Half Bottle,4.2,263 ratings,$66,https://www.vivino.com/SG/en/de-bortoli-noble-one-botrytis-semillon/w/19085?year=2018&price_id=38231232
2020 Kalleske - Shiraz Moppa - Red - 750 ml - Standard Bottle,4.1,296 ratings,$66,https://www.vivino.com/SG/en/kalleske-moppa-shiraz/w/16366?year=2020&price_id=38840212
2018 Bodegas Palacio - Cosme Palacio Vendimia Seleccionada - Red - 750 ml - Standard Bottle,3.9,158 ratings,$65,https://www.vivino.com/SG/en/bodegas-cosme-palacio-cosme-palacio-vendimia-seleccionada/w/1150901?year=2018&price_id=29856990
2019 Raymond - Chardonnay R Collection - White - 750 ml - Standard Bottle,3.9,263 ratings,$51,https://www.vivino.com/SG/en/raymond-vineyards-r-collection-chardonnay/w/1084469?year=2019&price_id=30581582
2014 Fire Gully - Shiraz Viognier - Red - 750 ml - Standard Bottle,3.7,based on all vintages,N/A,https://www.vivino.com/SG/en/fire-gully-fire-gully-shiraz-viognier/w/1206447?year=2014
2020 Archenant Aurelien Verdet - Morey St Denis - Red - 750 ml - Standard Bottle,4.1,based on all vintages,$178,https://www.vivino.com/SG/en/aurelien-verdet-morey-saint-denis/w/1305588?year=2020&price_id=34937564
2015 Bodegas Montecillo - Edicion Limitada Reserva - Red - 750 ml - Standard Bottle,3.9,346 ratings,N/A,https://www.vivino.com/SG/en/bodegas-marques-de-caceres-reserva-edicion-limitada-rioja-red-wine-v/w/7526746?year=2015
2019 Falkenstein - Riesling - White - 750 ml - Standard Bottle,4.0,230 ratings,$92,https://www.vivino.com/SG/en/falkenstein-riesling/w/1953763?year=2019&price_id=35552653
2018 Alain Burguet - Bourgogne Rouge les Pince Vin - Red - 750 ml - Standard Bottle,4.1,140 ratings,N/A,https://www.vivino.com/SG/en/jean-luc-eric-burguet-bourgogne-les-pince-vin/w/1155866?year=2018
2018 De Martino - Vigno Carignan - Red - 750 ml - Standard Bottle,3.9,226 ratings,N/A,https://www.vivino.com/SG/en/cl-de-martino-vigno-vignadores-de-carignan-carignan/w/3100683?year=2018
